date,term,value
2020-10-18,IMF,36
2020-10-25,IMF,28
2020-11-01,IMF,27
2020-11-08,IMF,26
2020-11-15,IMF,27
2020-11-22,IMF,24
2020-11-29,IMF,26
2020-12-06,IMF,29
2020-12-13,IMF,27
2020-12-20,IMF,24
2020-12-27,IMF,19
2021-01-03,IMF,24
2021-01-10,IMF,29
2021-01-17,IMF,31
2021-01-24,IMF,38
2021-01-31,IMF,29
2021-02-07,IMF,26
2021-02-14,IMF,26
2021-02-21,IMF,28
2021-02-28,IMF,28
2021-03-07,IMF,27
2021-03-14,IMF,28
2021-03-21,IMF,29
2021-03-28,IMF,29
2021-04-04,IMF,45
2021-04-11,IMF,30
2021-04-18,IMF,27
2021-04-25,IMF,26
2021-05-02,IMF,25
2021-05-09,IMF,23
2021-05-16,IMF,23
2021-05-23,IMF,24
2021-05-30,IMF,22
2021-06-06,IMF,29
2021-06-13,IMF,24
2021-06-20,IMF,22
2021-06-27,IMF,22
2021-07-04,IMF,21
2021-07-11,IMF,23
2021-07-18,IMF,21
2021-07-25,IMF,25
2021-08-01,IMF,23
2021-08-08,IMF,21
2021-08-15,IMF,24
2021-08-22,IMF,27
2021-08-29,IMF,24
2021-09-05,IMF,25
2021-09-12,IMF,26
2021-09-19,IMF,26
2021-09-26,IMF,26
2021-10-03,IMF,27
2021-10-10,IMF,35
2021-10-17,IMF,31
2021-10-24,IMF,25
2021-10-31,IMF,23
2021-11-07,IMF,25
2021-11-14,IMF,25
2021-11-21,IMF,27
2021-11-28,IMF,27
2021-12-05,IMF,30
2021-12-12,IMF,27
2021-12-19,IMF,22
2021-12-26,IMF,18
2022-01-02,IMF,21
2022-01-09,IMF,25
2022-01-16,IMF,26
2022-01-23,IMF,34
2022-01-30,IMF,27
2022-02-06,IMF,27
2022-02-13,IMF,28
2022-02-20,IMF,27
2022-02-27,IMF,28
2022-03-06,IMF,30
2022-03-13,IMF,33
2022-03-20,IMF,32
2022-03-27,IMF,29
2017-05-28,United Nations,44
2017-06-04,United Nations,44
2017-06-11,United Nations,40
2017-06-18,United Nations,38
2017-06-25,United Nations,34
2017-07-02,United Nations,36
2017-07-09,United Nations,36
2017-07-16,United Nations,33
2017-07-23,United Nations,36
2017-07-30,United Nations,37
2017-08-06,United Nations,39
2017-08-13,United Nations,37
2017-08-20,United Nations,37
2017-08-27,United Nations,37
2017-09-03,United Nations,44
2017-09-10,United Nations,51
2017-09-17,United Nations,100
2017-09-24,United Nations,56
2017-10-01,United Nations,55
2017-10-08,United Nations,57
2017-10-15,United Nations,56
2017-10-22,United Nations,57
2017-10-29,United Nations,48
2017-11-05,United Nations,47
2017-11-12,United Nations,50
2017-11-19,United Nations,42
2017-11-26,United Nations,49
2017-12-03,United Nations,50
2017-12-10,United Nations,48
2017-12-17,United Nations,61
2017-12-24,United Nations,38
2017-12-31,United Nations,37
2018-01-07,United Nations,43
2018-01-14,United Nations,45
2018-01-21,United Nations,46
2018-01-28,United Nations,49
2018-02-04,United Nations,48
2018-02-11,United Nations,49
2018-02-18,United Nations,49
2018-02-25,United Nations,52
2018-03-04,United Nations,52
2018-03-11,United Nations,52
2018-03-18,United Nations,49
2018-03-25,United Nations,44
2018-04-01,United Nations,46
2018-04-08,United Nations,56
2018-04-15,United Nations,56
2018-04-22,United Nations,51
2018-04-29,United Nations,50
2018-05-06,United Nations,52
2018-05-13,United Nations,50
2018-05-20,United Nations,50
2018-05-27,United Nations,44
2018-06-03,United Nations,41
2018-06-10,United Nations,41
2018-06-17,United Nations,46
2018-06-24,United Nations,35
2018-07-01,United Nations,31
2018-07-08,United Nations,34
2018-07-15,United Nations,36
2018-07-22,United Nations,37
2018-07-29,United Nations,34
2018-08-05,United Nations,35
2018-08-12,United Nations,37
2018-08-19,United Nations,37
2018-08-26,United Nations,38
2018-09-02,United Nations,44
2018-09-09,United Nations,47
2018-09-16,United Nations,49
2018-09-23,United Nations,84
2018-09-30,United Nations,52
2018-10-07,United Nations,55
2018-10-14,United Nations,67
2018-10-21,United Nations,59
2018-10-28,United Nations,50
2018-11-04,United Nations,47
2018-11-11,United Nations,51
2018-11-18,United Nations,45
2018-11-25,United Nations,47
2018-12-02,United Nations,51
2018-12-09,United Nations,47
2018-12-16,United Nations,42
2018-12-23,United Nations,24
2018-12-30,United Nations,31
2019-01-06,United Nations,43
2019-01-13,United Nations,46
2019-01-20,United Nations,42
2019-01-27,United Nations,46
2019-02-03,United Nations,46
2019-02-10,United Nations,47
2019-02-17,United Nations,51
2019-02-24,United Nations,51
2019-03-03,United Nations,50
2019-03-10,United Nations,53
2019-03-17,United Nations,51
2019-03-24,United Nations,48
2019-03-31,United Nations,49
2019-04-07,United Nations,50
2019-04-14,United Nations,43
2019-04-21,United Nations,48
2019-04-28,United Nations,51
2019-05-05,United Nations,52
2019-05-12,United Nations,50
2019-05-19,United Nations,45
2019-05-26,United Nations,44
2019-06-02,United Nations,44
2019-06-09,United Nations,42
2019-06-16,United Nations,41
2019-06-23,United Nations,37
2019-06-30,United Nations,35
2019-07-07,United Nations,35
2019-07-14,United Nations,34
2019-07-21,United Nations,33
2019-07-28,United Nations,36
2019-08-04,United Nations,40
2019-08-11,United Nations,43
2019-08-18,United Nations,41
2019-08-25,United Nations,42
2019-09-01,United Nations,42
2019-09-08,United Nations,48
2019-09-15,United Nations,52
2019-09-22,United Nations,85
2019-09-29,United Nations,56
2019-10-06,United Nations,57
2019-10-13,United Nations,54
2019-10-20,United Nations,55
2019-10-27,United Nations,47
2019-11-03,United Nations,47
2019-11-10,United Nations,48
2019-11-17,United Nations,48
2019-11-24,United Nations,38
2019-12-01,United Nations,47
2019-12-08,United Nations,46
2019-12-15,United Nations,43
2019-12-22,United Nations,27
2019-12-29,United Nations,34
2020-01-05,United Nations,49
2020-01-12,United Nations,45
2020-01-19,United Nations,43
2020-01-26,United Nations,46
2020-02-02,United Nations,47
2020-02-09,United Nations,47
2020-02-16,United Nations,48
2020-02-23,United Nations,47
2020-03-01,United Nations,51
2020-03-08,United Nations,46
2020-03-15,United Nations,42
2020-03-22,United Nations,44
2020-03-29,United Nations,46
2020-04-05,United Nations,46
2020-04-12,United Nations,46
2020-04-19,United Nations,52
2020-04-26,United Nations,53
2020-05-03,United Nations,49
2020-05-10,United Nations,46
2020-05-17,United Nations,46
2020-05-24,United Nations,46
2020-05-31,United Nations,45
2020-06-07,United Nations,40
2020-06-14,United Nations,45
2020-06-21,United Nations,45
2020-06-28,United Nations,36
2020-07-05,United Nations,34
2020-07-12,United Nations,43
2020-07-19,United Nations,37
2020-07-26,United Nations,39
2020-08-02,United Nations,34
2020-08-09,United Nations,33
2020-08-16,United Nations,35
2020-08-23,United Nations,37
2020-08-30,United Nations,42
2020-09-06,United Nations,49
2020-09-13,United Nations,42
2020-09-20,United Nations,53
2020-09-27,United Nations,45
2020-10-04,United Nations,44
2020-10-11,United Nations,46
2020-10-18,United Nations,51
2020-10-25,United Nations,43
2020-11-01,United Nations,39
2020-11-08,United Nations,42
2020-11-15,United Nations,46
2020-11-22,United Nations,39
2020-11-29,United Nations,42
2020-12-06,United Nations,45
2020-12-13,United Nations,38
2020-12-20,United Nations,27
2020-12-27,United Nations,26
2021-01-03,United Nations,35
2021-01-10,United Nations,35
